192607,   0.46,   2.65,  -2.57,  -0.10,   1.33,   1.20,   2.05,   4.20,   3.05,   0.61,   2.06,   4.77,  -0.69,   4.85,   1.46,   0.44,   1.99
192608,   4.72,   1.16,   3.85,   4.54,   0.75,   3.55,   4.10,   0.85,  -0.58,  -0.49,   5.57,  -1.11,   4.96,  -2.00,   0.63,   8.84,   4.81
192609,   1.66,   1.44,  -4.93,  -5.08,   1.27,   1.85,   2.50,  -1.06,   2.28,  -3.10,   0.52,  -3.39,   0.06,   2.06,  -1.20,  -2.55,  -2.09
192610,  -4.79,   5.73,   0.23,   0.46,  -5.02,  -9.15,  -1.41,  -6.49,  -4.98,  -3.92,  -4.52, -10.66,  -2.79,  -2.98,  -2.44,  -4.40,  -3.50
192611,   7.04,   1.13,   2.92,   2.77,   0.12,   4.98,   8.35,   2.91,   1.81,   1.36,  -0.75,  -0.73,   1.38,   5.71,   1.72,  -0.27,  -0.47
192612,  -1.39,  -1.38,   6.39,   2.50,   4.23,   2.59,   1.96,   3.37,   2.17,   2.22,   2.93,   5.14,   2.18,   1.72,   3.06,   2.40,   2.59
192701,  -1.77,   1.19,   5.17,  -1.29,   2.76,   1.31,   0.72,  -6.33,   0.13,   1.90,   3.38,  -2.74,   6.38,  -0.44,  -1.89,  -3.88,   0.55
192702,   4.12,   4.26,   3.63,   1.84,   1.80,   5.61,   4.09,   4.67,   8.23,   3.16,   7.24,   6.94,   8.91,   4.88,   4.82,   4.25,   5.93
192703,  -4.63,   0.43, -11.35,  -2.92,  -3.96,  -4.93,   0.94,   4.19,  -3.19,  -0.10,   0.98,  -2.85,   0.00,   2.19,  -0.91,  -0.23,  -0.69
192704,   0.34,   1.82,  -4.87,   3.36,   0.53,   3.27,   2.38,   1.73,  -0.18,   4.60,   2.10,  -1.68,   1.75,   1.69,   4.53,   2.72,  -0.38
192705,   8.19,   5.76,   4.93,   6.93,   5.31,   4.38,   6.19,   3.07,   4.46,  11.48,   4.33,   3.88,  11.54,   9.29,   2.44,   8.22,   4.48
192706,  -1.65,  -4.99,   1.88,  -4.40,  -6.39,   5.54,   0.48,  -3.02,  -5.90,   4.42,   0.07,  -4.14,  -0.43,  -3.30,  -0.81,  -1.34,  -7.57
192707,   5.35,   8.92,   1.12,   9.02,   2.23,   7.97,   6.12,   3.07,   8.52,   9.69,   6.44,   6.27,   3.42,   4.18,   5.99,   3.08,  10.28
192708,   1.75,   2.15,  -3.53,  -0.34,   0.54,   3.60,   1.05,  -3.84,   0.42,  -1.40,  -1.49,   1.63,  -1.91,   6.17,   3.52,   2.16,   1.19
192709,   3.41,   2.83,   4.76,   2.24,   2.24,  -1.19,   3.02,   3.24,   0.02,  -2.87,   1.30,  -1.74,   3.03,   9.42,   4.40,   5.19,   6.50
192710,  -2.39,  -6.26,  -4.02,  -0.37,  -5.95,  -5.05,   1.74,  -2.47,  -7.35,  -0.19,  -3.44,  -3.55,  -6.29,  -4.68,  -2.99,   1.57,  -2.29
192711,   9.46,  16.53,   9.09,   2.99,  -2.69,  10.36,   8.30,   4.13,  23.30,  13.31,  11.94,  13.96,   6.55,   5.96,   9.64,   8.04,   9.30
192712,   6.39,   3.19,   2.17,  -0.28,   8.20,   8.74,   0.41,   3.46,   6.94,   0.12,   3.01,   8.07,   0.62,   1.80,   0.46,   7.93,   0.53
192801,   4.47,   8.19,   0.73,   5.22,  -1.78,  -1.31,   3.59,  10.23,   7.35,   2.53,   4.01,  -1.66,  -0.34,   8.76,   3.12,   4.18,   3.79
192802,  -2.70,  -2.64,  -1.57,  -0.72,  -1.57,  -1.66,  -2.46,   1.28,  -2.17,  -1.82,  -3.34,  -3.74,  -3.46,  -1.63,   0.03,  -3.32,  -3.39
192803,   5.55,   7.09,   7.30,   3.44,  16.95,   8.09,   4.70,   4.51,   8.16,   9.24,   6.63,  17.02,   5.92,   4.95,   4.59,   7.67,   7.43
192804,   5.26,   4.29,  32.35,   5.20,  -1.04,   6.10,   0.35,   4.70,   5.12,   8.48,  13.54,   7.28,   7.70,  10.94,   5.02,  11.99,   4.02
192805,   4.39,   7.80,  -5.14,   0.17,  -0.55,   1.54,   0.87,   1.79,  10.03,   5.12,   5.22,  11.41,   2.03,   1.70,   5.07,   6.18,   5.87
192806,  -7.17,  -9.23,  -5.58,  -8.33, -13.24,  -5.69,  -5.07,  -7.77,  -8.20,  -7.08,  -3.45, -11.23,  -5.34,  -3.82,  -5.60,  -7.64,  -8.00
192807,   0.03,  -0.49,   2.44,  -1.31,  -1.67,   3.39,   2.38,  -2.24,  -0.14,   1.61,  -0.45,   0.93,  -1.51,  -1.09,   4.28,  -0.06,   0.11
192808,   6.93,   1.32,   2.01,   0.87,   4.71,   6.06,   7.93,   4.12,  10.89,   8.48,   3.28,  11.78,   3.59,   5.72,   8.21,   6.14,   8.11
192809,   2.35,   4.63,   9.17,   5.17,   7.47,   6.28,   1.70,   5.05,  10.06,   3.82,   5.97,   9.81,   2.45,   4.94,   3.17,   8.81,   3.37
192810,  -0.03,   2.67,   4.62,   7.02,  -1.72,  -0.20,   6.04,   1.05,   6.04,   1.67,   0.86,   1.48,  -3.09,  -2.22,   4.14,   4.07,  -0.17
192811,  10.67,  11.07,  15.52,   7.13,  15.97,  10.88,   6.88,  10.08,  16.23,   7.80,  14.77,  11.96,  10.46,  18.29,   9.21,  11.85,  10.03
192812,  -1.71,  -0.82,  -8.74,  -3.55,  -6.72,   3.01,   3.24,   0.08,   1.91,  -1.10,   5.71,   3.79,  -1.37,   2.32,   0.35,   0.01,  -0.15
192901,   3.29,   2.03,  -7.24,  -0.35,   4.85,  11.62,   1.58,   7.80,   5.85,   3.38,   5.54,   2.88,   5.17,  15.63,  -1.95,  11.94,   2.52
192902,  -2.55,   6.96,  -0.20,  -2.38,  -1.92,  -1.13,  -2.50,  -2.21,   7.73,   7.44,   5.02,  -0.23,  -1.62,  -1.52,  -0.24,   5.40,   0.03
192903,  -5.63,  -7.87,   9.75,  -5.52,  -6.49,  -4.26,  -4.54,  -4.06,  -1.87,  -1.35,  -4.88,  -7.13,  -2.81,  -2.13,  -5.17,  -0.90,  -2.30
192904,   3.20,  -4.52,   1.32,   4.61,  -1.10,   5.78,  -2.44,   5.90,  -0.48,   4.46,   3.94,  -1.44,   1.35,   4.06,   0.61,   1.29,   0.83
192905,  -7.91, -13.04,  -8.84,  -9.86, -12.56,  -6.96,  -7.47, -12.19, -14.42,  -8.84,  -7.84, -15.04,  -4.98,   2.77,  -9.12,  -6.43, -11.06
192906,   6.34,   5.25,   2.79,   3.31,   7.99,  16.82,   3.53,   5.44,  11.37,  12.84,  12.33,   7.80,   5.04,  22.76,   8.12,  10.30,   8.61
192907,   5.77,   2.51,  -1.34,  -6.32,   1.64,   1.51,   0.36,   0.94,   3.37,   0.60,   5.25,  -3.04,   4.14,   7.56,   0.79,   5.77,   0.13
192908,  -0.76,   4.25,   4.24,   0.37,  -0.43,   7.07,   0.11,  -1.22,   5.16,  10.26,   3.51,  -3.06,   1.93,  10.33,   4.03,   5.02,   3.38
